,nfe,improvements
0,100,21
1,200,28
2,300,38
3,400,52
4,500,63
5,600,71
6,700,82
7,800,94
8,900,112
9,1000,122
10,1100,132
11,1200,139
12,1300,145
13,1400,153
14,1500,156
15,1600,164
16,1700,174
17,1800,187
18,1900,199
19,2000,210
20,2100,223
21,2200,236
22,2300,249
23,2400,262
24,2500,277
25,2600,296
26,2700,312
27,2800,334
28,2900,361
29,3000,383
30,3100,396
31,3200,418
32,3300,442
33,3400,465
34,3500,484
35,3600,502
36,3700,518
37,3800,540
38,3900,554
39,4000,576
40,4100,591
41,4200,609
42,4300,628
43,4400,649
44,4500,671
45,4600,684
46,4700,704
47,4800,717
48,4900,737
49,5000,751
50,5100,767
51,5200,786
52,5300,807
53,5400,834
54,5500,860
55,5600,884
56,5700,903
57,5800,919
58,5900,935
59,6000,952
60,6100,969
61,6200,988
62,6300,1003
63,6400,1023
64,6500,1036
65,6600,1054
66,6700,1073
67,6800,1088
68,6900,1104
69,7000,1117
70,7100,1132
71,7200,1146
72,7300,1167
73,7400,1183
74,7500,1197
75,7600,1211
76,7700,1225
77,7800,1242
78,7900,1260
79,8000,1281
80,8100,1298
81,8200,1313
82,8300,1328
83,8400,1340
84,8500,1367
85,8600,1387
86,8700,1407
87,8800,1420
88,8900,1438
89,9000,1456
90,9100,1471
91,9200,1490
92,9300,1508
93,9400,1522
94,9500,1541
95,9600,1556
96,9700,1569
97,9800,1584
98,9900,1596
99,10603,1611
100,11407,1632
101,12211,1679
102,13015,1730
103,13819,1787
104,14623,1862
105,15427,1932
106,16231,2009
107,17035,2073
108,17839,2128
109,18643,2197
110,19447,2276
111,20251,2342
112,21055,2407
113,21859,2484
114,22663,2549
115,23467,2601
116,24271,2663
117,25075,2721
118,25879,2779
119,26683,2835
120,27487,2897
121,28291,2957
122,29095,3015
123,29899,3058
124,30703,3107
125,31507,3156
126,32311,3202
127,33115,3254
128,33919,3302
129,34723,3350
130,35527,3404
131,36331,3457
132,37135,3510
133,37939,3574
134,38743,3631
135,39547,3681
136,40351,3727
137,41155,3772
138,41959,3813
139,42763,3844
140,43567,3879
141,44371,3923
142,45175,3962
143,45979,4005
144,46783,4056
145,47587,4104
146,48391,4145
147,49195,4187
148,49999,4229
149,50803,4275
