,nfe,improvements
0,100,22
1,200,25
2,300,31
3,400,38
4,500,44
5,600,51
6,700,57
7,800,62
8,900,66
9,1000,70
10,1100,78
11,1200,86
12,1300,99
13,1400,108
14,1500,118
15,1600,135
16,1700,142
17,1800,155
18,1900,161
19,2000,174
20,2100,185
21,2200,199
22,2300,211
23,2400,227
24,2500,247
25,2600,256
26,2700,271
27,2800,286
28,2900,301
29,3000,321
30,3100,331
31,3200,345
32,3300,358
33,3400,372
34,3500,391
35,3600,410
36,3700,423
37,3800,441
38,3900,458
39,4000,470
40,4100,488
41,4200,507
42,4300,522
43,4400,542
44,4500,562
45,4600,581
46,4700,595
47,4800,610
48,4900,632
49,5000,645
50,5100,658
51,5200,674
52,5300,689
53,5400,698
54,5500,715
55,5600,730
56,5700,745
57,5800,760
58,5900,777
59,6000,793
60,6100,819
61,6200,836
62,6300,851
63,6400,872
64,6500,893
65,6600,906
66,6700,926
67,6800,937
68,6900,956
69,7000,968
70,7100,983
71,7200,1003
72,7300,1018
73,7400,1038
74,7500,1049
75,7600,1066
76,7700,1087
77,7800,1102
78,7900,1122
79,8000,1141
80,8100,1157
81,8200,1176
82,8300,1194
83,8400,1213
84,8500,1231
85,8600,1252
86,8700,1268
87,8800,1286
88,8900,1303
89,9000,1327
90,9100,1347
91,9200,1371
92,9300,1390
93,9400,1406
94,9500,1427
95,9600,1447
96,9700,1469
97,9800,1491
98,9900,1512
99,10351,1533
100,10819,1561
101,11287,1598
102,11755,1656
103,12223,1715
104,12691,1772
105,13159,1831
106,13627,1875
107,14095,1928
108,14563,1984
109,15031,2030
110,15499,2095
111,15967,2142
112,16435,2186
113,16903,2244
114,17371,2309
115,17839,2366
116,18307,2433
117,18775,2495
118,19243,2560
119,19711,2623
120,20179,2698
121,20647,2759
122,21115,2827
123,21583,2896
124,22051,2968
125,22519,3037
126,22987,3104
127,23455,3173
128,23923,3236
129,24391,3289
130,24859,3352
131,25327,3414
132,25795,3472
133,26263,3528
134,26731,3596
135,27199,3642
136,27667,3689
137,28135,3735
138,28603,3785
139,29071,3827
140,29539,3874
141,30007,3921
142,30475,3973
143,30943,4029
144,31411,4078
145,31879,4126
146,32347,4165
147,32815,4207
148,33283,4247
149,33751,4287
150,34219,4338
151,34687,4385
152,35155,4427
153,35623,4469
154,36091,4499
155,36559,4536
156,37027,4567
157,37495,4607
158,37963,4640
159,38431,4667
160,38899,4695
161,39367,4730
162,39835,4769
163,40303,4800
164,40771,4844
165,41239,4872
166,41707,4901
167,42175,4935
168,42643,4966
169,43111,4992
170,43579,5028
171,44047,5069
172,44515,5094
173,44983,5115
174,45451,5140
175,45919,5159
176,46387,5182
177,46855,5208
178,47323,5227
179,47791,5245
180,48259,5264
181,48727,5283
182,49195,5306
183,49663,5332
184,50131,5356
