,nfe,improvements
0,100,20
1,200,27
2,300,36
3,400,46
4,500,62
5,600,66
6,700,73
7,800,81
8,900,84
9,1000,89
10,1100,98
11,1200,102
12,1300,110
13,1400,118
14,1500,129
15,1600,139
16,1700,143
17,1800,152
18,1900,163
19,2000,172
20,2100,181
21,2200,189
22,2300,204
23,2400,217
24,2500,228
25,2600,246
26,2700,257
27,2800,282
28,2900,302
29,3000,326
30,3100,347
31,3200,372
32,3300,393
33,3400,419
34,3500,444
35,3600,468
36,3700,490
37,3800,510
38,3900,529
39,4000,550
40,4100,572
41,4200,594
42,4300,620
43,4400,640
44,4500,673
45,4600,703
46,4700,732
47,4800,763
48,4900,789
49,5000,824
50,5100,850
51,5200,873
52,5300,892
53,5400,906
54,5500,924
55,5600,945
56,5700,972
57,5800,990
58,5900,1011
59,6000,1028
60,6100,1051
61,6200,1070
62,6300,1091
63,6400,1109
64,6500,1131
65,6600,1143
66,6700,1166
67,6800,1189
68,6900,1208
69,7000,1228
70,7100,1245
71,7200,1262
72,7300,1282
73,7400,1300
74,7500,1317
75,7600,1331
76,7700,1344
77,7800,1362
78,7900,1375
79,8000,1389
80,8100,1407
81,8200,1423
82,8300,1439
83,8400,1456
84,8500,1468
85,8600,1484
86,8700,1494
87,8800,1504
88,8900,1522
89,9000,1534
90,9100,1548
91,9200,1560
92,9300,1570
93,9400,1581
94,9500,1596
95,9600,1602
96,9700,1612
97,9800,1621
98,9900,1630
99,10831,1638
100,11939,1696
101,13047,1766
102,14155,1860
103,15263,1956
104,16371,2061
105,17479,2180
106,18587,2282
107,19695,2382
108,20803,2486
109,21911,2593
110,23019,2713
111,24127,2818
112,25235,2921
113,26343,3030
114,27451,3120
115,28559,3217
116,29667,3324
117,30775,3439
118,31883,3530
119,32991,3607
120,34099,3712
121,35207,3799
122,36315,3897
123,37423,3970
124,38531,4048
125,39639,4124
126,40747,4217
127,41855,4288
128,42963,4367
129,44071,4451
130,45179,4533
131,46287,4602
132,47395,4676
133,48503,4755
134,49611,4838
135,50719,4922
