Ak,irri,env,fld_c,Kp,Name
4246.394211,0.85770003,0.794701987,0,814.1283001,Other solutions
4241.773053,0.770694075,0.794701987,0,815.2950565,Other solutions
4239.842819,0.752827451,0.794701987,0,815.5794981,Other solutions
4242.537237,0.713326003,0.794701987,0,817.560211,Other solutions
4247.203579,0.654421369,0.794701987,0,818.7047046,Other solutions
4250.917679,0.571434801,0.794701987,0,821.1718953,Other solutions
4252.775144,0.516973584,0.794701987,0,822.5112475,Other solutions
4228.261522,0.258428967,0.794701987,0,824.1095158,Other solutions
4233.132969,0.231656152,0.794701987,0,825.3927173,Other solutions
4239.203031,0.22217256,0.794701987,0,823.7158882,Other solutions
4233.994901,0.069107837,0.794701987,0,824.7688397,Other solutions
4235.032601,0.011843245,0.794701987,0,825.6723421,Other solutions
4269.005147,0.856943577,0.781456954,0,817.3421787,Other solutions
4277.895334,0.807463857,0.781456954,0,820.8735168,Other solutions
4277.296764,0.77352499,0.781456954,0,822.1680567,Other solutions
4281.995005,0.710209212,0.781456954,0,824.380712,Other solutions
4281.119961,0.669400362,0.781456954,0,824.7741113,Other solutions
4274.610318,0.576993148,0.781456954,0,827.1987867,Other solutions
4276.567592,0.552614857,0.781456954,0,826.9418617,Other solutions
4267.705859,0.451200497,0.781456954,0,828.1935514,Other solutions
4274.957349,0.449657262,0.781456954,0,828.6386706,Other solutions
4264.764868,0.320880451,0.781456954,0,829.8141734,Other solutions
4264.997607,0.269174449,0.781456954,0,831.1459801,Other solutions
4274.638823,0.86639692,0.774834437,0,817.5559126,Other solutions
4293.624099,0.827194669,0.774834437,0,823.8937723,Other solutions
4296.194993,0.768168531,0.774834437,0,825.9430131,Other solutions
4295.988199,0.755200072,0.774834437,0,826.0739209,Other solutions
4297.919853,0.650113726,0.774834437,0,828.4106334,Other solutions
4302.030449,0.645380806,0.774834437,0,829.3376884,Other solutions
4288.186929,0.577066936,0.774834437,0,829.7604814,Other solutions
4287.124087,0.412622669,0.774834437,0,831.3473487,Other solutions
4286.80675,0.367042711,0.774834437,0,833.209277,Other solutions
4280.594215,0.294970365,0.774834437,0,833.5441594,Other solutions
4333.009543,0.882898051,0.761589404,0,829.7206796,Other solutions
4328.661581,0.816825326,0.761589404,0,830.5187049,Other solutions
4335.062234,0.781608837,0.761589404,0,832.2832225,Other solutions
4335.048887,0.728104756,0.761589404,0,834.303406,Other solutions
4334.898989,0.582875128,0.761589404,0,838.318439,Other solutions
4310.459769,0.269531248,0.761589404,0,838.8060967,Other solutions
4309.588201,0.250597285,0.761589404,0,839.7706272,Other solutions
4322.549916,0.160810525,0.761589404,0,839.9449062,Other solutions
4322.353829,0.151223649,0.761589404,0,840.9763697,Other solutions
4350.833447,0.876799739,0.754966887,0,833.1701332,Other solutions
