,nfe,improvements
0,100,21
1,200,25
2,300,27
3,400,33
4,500,40
5,600,49
6,700,60
7,800,72
8,900,79
9,1000,91
10,1100,99
11,1200,110
12,1300,123
13,1400,132
14,1500,144
15,1600,158
16,1700,169
17,1800,181
18,1900,193
19,2000,206
20,2100,220
21,2200,238
22,2300,252
23,2400,265
24,2500,285
25,2600,309
26,2700,332
27,2800,354
28,2900,373
29,3000,396
30,3100,414
31,3200,429
32,3300,445
33,3400,462
34,3500,477
35,3600,498
36,3700,515
37,3800,534
38,3900,556
39,4000,581
40,4100,600
41,4200,623
42,4300,648
43,4400,674
44,4500,704
45,4600,735
46,4700,771
47,4800,804
48,4900,836
49,5000,871
50,5100,899
51,5200,928
52,5300,958
53,5400,989
54,5500,1014
55,5600,1039
56,5700,1069
57,5800,1094
58,5900,1115
59,6000,1141
60,6100,1158
61,6200,1179
62,6300,1209
63,6400,1231
64,6500,1255
65,6600,1278
66,6700,1309
67,6800,1331
68,6900,1357
69,7000,1377
70,7100,1398
71,7200,1421
72,7300,1444
73,7400,1461
74,7500,1482
75,7600,1505
76,7700,1532
77,7800,1553
78,7900,1574
79,8000,1592
80,8100,1614
81,8200,1636
82,8300,1660
83,8400,1682
84,8500,1701
85,8600,1720
86,8700,1744
87,8800,1760
88,8900,1776
89,9000,1790
90,9100,1801
91,9200,1818
92,9300,1829
93,9400,1843
94,9500,1850
95,9600,1869
96,9700,1877
97,9800,1891
98,9900,1906
99,10894,1917
100,12086,1972
101,13278,2050
102,14470,2156
103,15662,2278
104,16854,2417
105,18046,2565
106,19238,2699
107,20430,2840
108,21622,2969
109,22814,3095
110,24006,3204
111,25198,3325
112,26390,3445
113,27582,3549
114,28774,3654
115,29966,3754
116,31158,3863
117,32350,3977
118,33542,4090
119,34734,4186
120,35926,4301
121,37118,4405
122,38310,4517
123,39502,4608
124,40694,4703
125,41886,4790
126,43078,4873
127,44270,4953
128,45462,5022
129,46654,5104
130,47846,5182
131,49038,5274
132,50230,5368
