,nfe,improvements
0,100,15
1,200,20
2,300,26
3,400,36
4,500,42
5,600,52
6,700,60
7,800,69
8,900,83
9,1000,88
10,1100,97
11,1200,109
12,1300,126
13,1400,145
14,1500,156
15,1600,173
16,1700,185
17,1800,198
18,1900,213
19,2000,230
20,2100,248
21,2200,269
22,2300,282
23,2400,296
24,2500,316
25,2600,334
26,2700,350
27,2800,371
28,2900,383
29,3000,397
30,3100,402
31,3200,413
32,3300,421
33,3400,436
34,3500,456
35,3600,471
36,3700,484
37,3800,498
38,3900,507
39,4000,521
40,4100,531
41,4200,544
42,4300,559
43,4400,570
44,4500,579
45,4600,584
46,4700,589
47,4800,599
48,4900,610
49,5000,616
50,5100,627
51,5200,639
52,5300,645
53,5400,653
54,5500,666
55,5600,678
56,5700,689
57,5800,701
58,5900,712
59,6000,720
60,6100,725
61,6200,735
62,6300,748
63,6400,762
64,6500,778
65,6600,792
66,6700,803
67,6800,812
68,6900,824
69,7000,836
70,7100,844
71,7200,853
72,7300,864
73,7400,873
74,7500,886
75,7600,891
76,7700,896
77,7800,908
78,7900,918
79,8000,929
80,8100,935
81,8200,940
82,8300,949
83,8400,959
84,8500,966
85,8600,976
86,8700,987
87,8800,995
88,8900,1002
89,9000,1007
90,9100,1013
91,9200,1021
92,9300,1024
93,9400,1031
94,9500,1038
95,9600,1046
96,9700,1052
97,9800,1056
98,9900,1063
99,10540,1073
100,11260,1103
101,11980,1138
102,12700,1203
103,13420,1256
104,14140,1320
105,14860,1375
106,15580,1409
107,16300,1440
108,17020,1471
109,17740,1494
110,18460,1524
111,19180,1543
112,19900,1569
113,20620,1588
114,21340,1610
115,22060,1622
116,22780,1643
117,23500,1662
118,24220,1684
119,24940,1711
120,25660,1728
121,26380,1743
122,27100,1760
123,27820,1774
124,28540,1785
125,29260,1802
126,29980,1818
127,30700,1828
128,31420,1838
129,32140,1852
130,32860,1866
131,33580,1880
132,34300,1891
133,35020,1911
134,35740,1919
135,36460,1927
136,37180,1937
137,37900,1947
138,38620,1957
139,39340,1965
140,40060,1974
141,40780,1986
142,41500,1996
143,42220,2005
144,42940,2016
145,43660,2036
146,44380,2046
147,45100,2059
148,45820,2071
149,46540,2082
150,47260,2093
151,47980,2101
152,48700,2112
153,49420,2123
154,50140,2132
