,nfe,improvements
0,100,24
1,200,33
2,300,39
3,400,55
4,500,64
5,600,79
6,700,98
7,800,113
8,900,132
9,1000,154
10,1100,173
11,1200,187
12,1300,209
13,1400,226
14,1500,241
15,1600,255
16,1700,276
17,1800,294
18,1900,314
19,2000,331
20,2100,346
21,2200,364
22,2300,384
23,2400,401
24,2500,424
25,2600,444
26,2700,458
27,2800,479
28,2900,489
29,3000,506
30,3100,519
31,3200,534
32,3300,551
33,3400,569
34,3500,585
35,3600,596
36,3700,612
37,3800,624
38,3900,637
39,4000,648
40,4100,662
41,4200,674
42,4300,688
43,4400,696
44,4500,705
45,4600,716
46,4700,726
47,4800,738
48,4900,746
49,5000,757
50,5100,770
51,5200,776
52,5300,785
53,5400,790
54,5500,797
55,5600,805
56,5700,806
57,5800,809
58,5900,812
59,6000,819
60,6100,827
61,6200,829
62,6300,833
63,6400,840
64,6500,845
65,6600,850
66,6700,853
67,6800,857
68,6900,861
69,7000,862
70,7100,863
71,7200,864
72,7300,866
73,7400,867
74,7500,874
75,7600,876
76,7700,879
77,7800,882
78,7900,886
79,8000,888
80,8100,890
81,8200,893
82,8300,893
83,8400,895
84,8500,896
85,8600,897
86,8700,897
87,8800,900
88,8900,902
89,9000,904
90,9100,907
91,9200,907
92,9300,909
93,9400,911
94,9500,912
95,9600,912
96,9700,914
97,9800,915
98,9900,915
99,10381,918
100,10889,928
101,11397,953
102,11905,989
103,12413,1030
104,12921,1077
105,13429,1124
106,13937,1161
107,14445,1207
108,14953,1253
109,15461,1293
110,15969,1334
111,16477,1387
112,16985,1426
113,17493,1470
114,18001,1516
115,18509,1564
116,19017,1609
117,19525,1663
118,20033,1716
119,20541,1747
120,21049,1786
121,21557,1832
122,22065,1883
123,22573,1938
124,23081,1977
125,23589,2028
126,24097,2072
127,24605,2132
128,25113,2190
129,25621,2260
130,26129,2321
131,26637,2377
132,27145,2434
133,27653,2493
134,28161,2549
135,28669,2607
136,29177,2659
137,29685,2711
138,30193,2759
139,30701,2812
140,31209,2863
141,31717,2912
142,32225,2960
143,32733,3003
144,33241,3038
145,33749,3086
146,34257,3127
147,34765,3165
148,35273,3202
149,35781,3232
150,36289,3263
151,36797,3294
152,37305,3321
153,37813,3356
154,38321,3381
155,38829,3412
156,39337,3439
157,39845,3470
158,40353,3500
159,40861,3522
160,41369,3542
161,41877,3561
162,42385,3578
163,42893,3596
164,43401,3611
165,43909,3630
166,44417,3647
167,44925,3659
168,45433,3675
169,45941,3689
170,46449,3699
171,46957,3709
172,47465,3721
173,47973,3731
174,48481,3745
175,48989,3757
176,49497,3771
177,50005,3787
