,nfe,improvements
0,100,17
1,200,20
2,300,22
3,400,28
4,500,36
5,600,46
6,700,60
7,800,73
8,900,84
9,1000,96
10,1100,102
11,1200,111
12,1300,125
13,1400,139
14,1500,150
15,1600,156
16,1700,169
17,1800,182
18,1900,190
19,2000,197
20,2100,211
21,2200,218
22,2300,226
23,2400,246
24,2500,261
25,2600,272
26,2700,287
27,2800,298
28,2900,312
29,3000,327
30,3100,340
31,3200,348
32,3300,355
33,3400,365
34,3500,373
35,3600,379
36,3700,386
37,3800,396
38,3900,405
39,4000,411
40,4100,414
41,4200,418
42,4300,420
43,4400,424
44,4500,430
45,4600,432
46,4700,437
47,4800,444
48,4900,445
49,5000,450
50,5100,454
51,5200,460
52,5300,468
53,5400,477
54,5500,490
55,5600,502
56,5700,513
57,5800,521
58,5900,527
59,6000,538
60,6100,543
61,6200,551
62,6300,560
63,6400,566
64,6500,572
65,6600,576
66,6700,583
67,6800,588
68,6900,590
69,7000,591
70,7100,593
71,7200,596
72,7300,601
73,7400,605
74,7500,610
75,7600,615
76,7700,618
77,7800,624
78,7900,628
79,8000,632
80,8100,635
81,8200,642
82,8300,652
83,8400,658
84,8500,664
85,8600,672
86,8700,675
87,8800,679
88,8900,681
89,9000,683
90,9100,686
91,9200,693
92,9300,700
93,9400,705
94,9500,710
95,9600,717
96,9700,720
97,9800,723
98,9900,728
99,10294,732
100,10686,747
101,11078,763
102,11470,788
103,11862,817
104,12254,846
105,12646,878
106,13038,904
107,13430,935
108,13822,964
109,14214,991
110,14606,1013
111,14998,1035
112,15390,1052
113,15782,1071
114,16174,1099
115,16566,1121
116,16958,1138
117,17350,1155
118,17742,1167
119,18134,1180
120,18526,1196
121,18918,1204
122,19310,1213
123,19702,1226
124,20094,1234
125,20486,1242
126,20878,1250
127,21270,1255
128,21662,1265
129,22054,1278
130,22446,1292
131,22838,1302
132,23230,1317
133,23622,1332
134,24014,1340
135,24406,1353
136,24798,1366
137,25190,1384
138,25582,1396
139,25974,1411
140,26366,1429
141,26758,1441
142,27150,1456
143,27542,1468
144,27934,1477
145,28326,1484
146,28718,1491
147,29110,1501
148,29502,1507
149,29894,1517
150,30286,1524
151,30678,1533
152,31070,1540
153,31462,1546
154,31854,1555
155,32246,1564
156,32638,1573
157,33030,1586
158,33422,1594
159,33814,1601
160,34206,1608
161,34598,1615
162,34990,1628
163,35382,1637
164,35774,1644
165,36166,1654
166,36558,1658
167,36950,1663
168,37342,1667
169,37734,1672
170,38126,1677
171,38518,1682
172,38910,1685
173,39302,1688
174,39694,1689
175,40086,1695
176,40478,1701
177,40870,1704
178,41262,1706
179,41654,1708
180,42046,1714
181,42438,1718
182,42830,1721
183,43222,1724
184,43614,1726
185,44006,1732
186,44398,1736
187,44790,1740
188,45182,1746
189,45574,1752
190,45966,1755
191,46358,1758
192,46750,1763
193,47142,1764
194,47534,1768
195,47926,1768
196,48318,1772
197,48710,1772
198,49102,1777
199,49917,1781
200,50481,1794
