hydropower,irrigation,environment,floodcontrol,Name
3532.0, .75,.75,0,Compromise
3364.43108182648,0.913471034475628,0.95364238410596,0,Best_environment
4024.14436910098,0.920322464216518,0.701986754966887,0,Other_solutions
4512.04038995506,0.568364422972507,0.165562913907285,0,Best_hydropower
4141.36323423459,0.896458258294823,0.655629139072848,0,Other_solutions
4140.39078147297,0.916324983547165,0.655629139072848,0,Other_solutions
3766.19249558436,0.920768826895423,0.801324503311258,0,Best_irrigation
4266.1086991081,0.90242465967295,0.602649006622517,0,Other_solutions
3626.36617724574,0.903719345045035,0.854304635761589,0,Other_solutions
4511.66835836355,0.910794926486064,0.596026490066225,0,Other_solutions
3506.71153938707,0.92067498187581,0.900662251655629,0,Other_solutions
3887.29115491416,0.920245106551997,0.754966887417219,0,Other_solutions
5000, 1,1,0
2190,0,0,-1
