,nfe,improvements
0,100,21
1,200,30
2,300,40
3,400,50
4,500,62
5,600,72
6,700,83
7,800,93
8,900,111
9,1000,117
10,1100,134
11,1200,145
12,1300,158
13,1400,162
14,1500,176
15,1600,192
16,1700,207
17,1800,221
18,1900,242
19,2000,253
20,2100,267
21,2200,285
22,2300,306
23,2400,323
24,2500,338
25,2600,349
26,2700,362
27,2800,375
28,2900,390
29,3000,401
30,3100,416
31,3200,427
32,3300,436
33,3400,445
34,3500,454
35,3600,464
36,3700,476
37,3800,491
38,3900,504
39,4000,511
40,4100,521
41,4200,527
42,4300,536
43,4400,540
44,4500,544
45,4600,550
46,4700,557
47,4800,566
48,4900,570
49,5000,576
50,5100,582
51,5200,585
52,5300,587
53,5400,589
54,5500,596
55,5600,602
56,5700,606
57,5800,611
58,5900,616
59,6000,625
60,6100,634
61,6200,640
62,6300,646
63,6400,649
64,6500,660
65,6600,667
66,6700,672
67,6800,681
68,6900,686
69,7000,692
70,7100,697
71,7200,701
72,7300,706
73,7400,712
74,7500,714
75,7600,715
76,7700,717
77,7800,720
78,7900,723
79,8000,729
80,8100,736
81,8200,740
82,8300,740
83,8400,740
84,8500,742
85,8600,746
86,8700,750
87,8800,754
88,8900,758
89,9000,759
90,9100,761
91,9200,764
92,9300,767
93,9400,768
94,9500,769
95,9600,769
96,9700,770
97,9800,772
98,9900,775
99,10486,780
100,11134,805
101,11782,831
102,12430,870
103,13078,911
104,13726,951
105,14374,978
106,15022,1011
107,15670,1037
108,16318,1057
109,16966,1091
110,17614,1120
111,18262,1141
112,18910,1163
113,19558,1186
114,20206,1207
115,20854,1224
116,21502,1246
117,22150,1263
118,22798,1286
119,23446,1301
120,24094,1325
121,24742,1343
122,25390,1361
123,26038,1381
124,26686,1393
125,27334,1407
126,27982,1426
127,28630,1452
128,29278,1463
129,29926,1484
130,30574,1504
131,31222,1518
132,31870,1534
133,32518,1551
134,33166,1565
135,33814,1590
136,34462,1611
137,35110,1638
138,35758,1663
139,36406,1680
140,37054,1701
141,37702,1714
142,38350,1729
143,38998,1744
144,39646,1760
145,40294,1777
146,40942,1788
147,41590,1807
148,42238,1827
149,42886,1837
150,43534,1846
151,44182,1856
152,44830,1875
153,45478,1897
154,46126,1912
155,46774,1921
156,47422,1942
157,48070,1959
158,48718,1979
159,49366,1989
160,50014,2005
