annualhydropower,irrigation,environment,floodcontrol
5955.501741514899,0.9016249243808853,0.6026490066225165,1.0
5262.053781823078,0.9139991869081845,0.8543046357615894,1.0
6585.875838229735,0.9085701322935082,0.45033112582781454,1.0
4943.797653360056,0.9005079500845565,0.9536423841059603,1.0
5408.329071564022,0.909616398367637,0.8013245033112583,1.0
7520.040576362285,0.9102033451657344,0.10596026490066224,1.0
7409.402898516439,0.9120482609676793,0.152317880794702,1.0
6723.26310020999,0.9125911500792003,0.4039735099337748,1.0
6859.227085427131,0.9051611660394747,0.3509933774834437,1.0
7660.202656866359,0.9184062753951947,0.052980132450331174,1.0
5815.135396261722,0.9047915113091817,0.6556291390728477,1.0
6864.114950849449,0.8299344394282865,0.3509933774834437,1.0
7775.107943894003,0.9196014902832007,0.0066225165562914245,1.0
7250.920390923511,0.9206507507979065,0.20529801324503316,1.0
5126.774534763235,0.9070260878031162,0.9006622516556292,1.0
7896.025608636648,0.921988293337305,0.0,1.0
6449.2096035926825,0.9210134551659823,0.5033112582781457,1.0
6298.093361340908,0.9009221213054347,0.5562913907284768,1.0
5551.801289245504,0.9053843390115176,0.7615894039735099,1.0
7127.211057889371,0.9160634670188122,0.2516556291390728,1.0
7000.515236194362,0.9076651356587286,0.304635761589404,1.0
5135.546813616496,0.8513886295095854,0.9006622516556292,1.0
5690.671722676687,0.9215267712393314,0.7019867549668874,1.0
