,,0,1,2,3
100,0,1248.7451560777572,0.008984384694058664,1.0,1.0
100,1,6029.0625393354985,0.1058325507354078,0.29139072847682124,1.0
100,2,6872.573057322016,0.1097642882336519,0.013245033112582738,1.0
100,3,6784.463823371513,0.12203321049002801,0.16556291390728473,1.0
100,4,6552.615190580331,0.15341716778382591,0.07284768211920534,1.0
100,5,6085.583327555083,0.02020004588551588,0.23178807947019864,1.0
100,6,7896.025608636648,0.3101917210700269,0.0,1.0
100,7,1423.0408894374632,0.01386145138767475,0.9006622516556292,1.0
100,8,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
200,0,6872.573057322016,0.1097642882336519,0.013245033112582738,1.0
200,1,6784.463823371513,0.12203321049002801,0.16556291390728473,1.0
200,2,6552.615190580331,0.15341716778382591,0.07284768211920534,1.0
200,3,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
200,4,5153.045188008688,0.1552487706946179,0.5960264900662251,1.0
200,5,3299.495547764194,0.02739532341897888,1.0,1.0
200,6,1172.0358112799638,0.05484682245219445,1.0,1.0
200,7,6257.405955667196,0.2925393865549806,0.26490066225165565,1.0
200,8,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
200,9,5859.472825446308,0.11253607570899204,0.3443708609271523,1.0
200,10,6584.793559388552,0.105207713773381,0.2185430463576159,1.0
200,11,7896.025608636648,0.3879651913066227,0.0,1.0
300,0,6784.463823371513,0.12203321049002801,0.16556291390728473,1.0
300,1,6552.615190580331,0.15341716778382591,0.07284768211920534,1.0
300,2,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
300,3,5153.045188008688,0.1552487706946179,0.5960264900662251,1.0
300,4,3299.495547764194,0.02739532341897888,1.0,1.0
300,5,1172.0358112799638,0.05484682245219445,1.0,1.0
300,6,6257.405955667196,0.2925393865549806,0.26490066225165565,1.0
300,7,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
300,8,5859.472825446308,0.11253607570899204,0.3443708609271523,1.0
300,9,6584.793559388552,0.105207713773381,0.2185430463576159,1.0
300,10,7896.025608636648,0.5322843857241152,0.0,1.0
300,11,5567.671438333061,0.15729700120982798,0.5165562913907285,1.0
300,12,6411.857701181914,0.03141487096883982,0.304635761589404,1.0
300,13,6950.2900911030865,0.1461641056839617,0.13245033112582782,1.0
300,14,6426.192245192537,0.17202379413235655,0.1589403973509934,1.0
300,15,5528.745677305076,0.05531790920300564,0.5695364238410596,1.0
400,0,6784.463823371513,0.12203321049002801,0.16556291390728473,1.0
400,1,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
400,2,3299.495547764194,0.02739532341897888,1.0,1.0
400,3,1172.0358112799638,0.05484682245219445,1.0,1.0
400,4,6257.405955667196,0.2925393865549806,0.26490066225165565,1.0
400,5,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
400,6,5859.472825446308,0.11253607570899204,0.3443708609271523,1.0
400,7,6584.793559388552,0.105207713773381,0.2185430463576159,1.0
400,8,5567.671438333061,0.15729700120982798,0.5165562913907285,1.0
400,9,6411.857701181914,0.03141487096883982,0.304635761589404,1.0
400,10,6426.192245192537,0.17202379413235655,0.1589403973509934,1.0
400,11,6574.765167111426,0.020384461666760265,0.26490066225165565,1.0
400,12,5629.095966062745,0.05950952557136059,0.5364238410596027,1.0
400,13,6731.801348778849,0.07451247832703897,0.22516556291390732,1.0
400,14,5228.954046955529,0.1561205720986416,0.5960264900662251,1.0
400,15,5613.0494859014325,0.15805493227708814,0.48344370860927155,1.0
400,16,5531.575757821069,0.05516565927007279,0.5695364238410596,1.0
400,17,6678.599637213482,0.25000409001363694,0.08609271523178808,1.0
400,18,7896.025608636648,0.5702610245470284,0.0,1.0
400,19,6954.2841338902235,0.14617908962853948,0.13245033112582782,1.0
500,0,6784.463823371513,0.12203321049002801,0.16556291390728473,1.0
500,1,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
500,2,3299.495547764194,0.02739532341897888,1.0,1.0
500,3,1172.0358112799638,0.05484682245219445,1.0,1.0
500,4,6257.405955667196,0.2925393865549806,0.26490066225165565,1.0
500,5,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
500,6,6584.793559388552,0.105207713773381,0.2185430463576159,1.0
500,7,5567.671438333061,0.15729700120982798,0.5165562913907285,1.0
500,8,6411.857701181914,0.03141487096883982,0.304635761589404,1.0
500,9,6426.192245192537,0.17202379413235655,0.1589403973509934,1.0
500,10,6574.765167111426,0.020384461666760265,0.26490066225165565,1.0
500,11,5629.095966062745,0.05950952557136059,0.5364238410596027,1.0
500,12,6731.801348778849,0.07451247832703897,0.22516556291390732,1.0
500,13,5613.0494859014325,0.15805493227708814,0.48344370860927155,1.0
500,14,5531.575757821069,0.05516565927007279,0.5695364238410596,1.0
500,15,7896.025608636648,0.5702610245470284,0.0,1.0
500,16,6954.2841338902235,0.14617908962853948,0.13245033112582782,1.0
500,17,5482.917728027988,0.16508753122896044,0.5827814569536424,1.0
500,18,6850.621725458759,0.19963980883585572,0.11258278145695366,1.0
500,19,5929.547404962157,0.0650859245285659,0.41721854304635764,1.0
500,20,6787.656630495428,0.2967843615242235,0.052980132450331174,1.0
500,21,5882.672936411398,0.12289314760467601,0.3178807947019867,1.0
500,22,5880.853939459333,0.1979321017581448,0.32450331125827814,1.0
500,23,4514.779994534098,0.05280594974565208,0.8940397350993378,1.0
500,24,7176.596898783733,0.12024686560462479,0.013245033112582738,1.0
500,25,6349.720786204771,0.29312715643093556,0.23178807947019864,1.0
500,26,7042.161060259983,0.11304231128310123,0.0927152317880795,1.0
600,0,5803.12971236603,0.24893254736698736,0.4039735099337748,1.0
600,1,3299.495547764194,0.02739532341897888,1.0,1.0
600,2,1172.0358112799638,0.05484682245219445,1.0,1.0
600,3,6257.405955667196,0.2925393865549806,0.26490066225165565,1.0
600,4,6234.649193122693,0.30089694518900373,0.2847682119205298,1.0
600,5,5567.671438333061,0.15729700120982798,0.5165562913907285,1.0
600,6,6411.857701181914,0.03141487096883982,0.304635761589404,1.0
600,7,6574.765167111426,0.020384461666760265,0.26490066225165565,1.0
600,8,5629.095966062745,0.05950952557136059,0.5364238410596027,1.0
600,9,6731.801348778849,0.07451247832703897,0.22516556291390732,1.0
600,10,5613.0494859014325,0.15805493227708814,0.48344370860927155,1.0
600,11,7896.025608636648,0.5702610245470284,0.0,1.0
600,12,5482.917728027988,0.16508753122896044,0.5827814569536424,1.0
600,13,6850.621725458759,0.19963980883585572,0.11258278145695366,1.0
