,,0,1,2,3
100,0,3225.8371714423547,0.026282003590638755,0.7780821917808219,0.0
100,1,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
100,2,3004.8856839319074,0.020811746362765973,0.7972602739726027,0.0
100,3,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
100,4,1549.2329898650203,0.01571726741663528,1.0,0.0
100,5,2725.7668170912957,0.0681577772038099,0.8328767123287671,0.0
100,6,4511.943312387069,0.13079200098456004,0.6301369863013699,0.0
100,7,2837.7354012341148,0.14164832376210476,0.7972602739726027,0.0
100,8,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
100,9,1391.1211352903795,0.08810821785898394,0.9972602739726028,0.0
100,10,4508.70696998678,0.1567351215732507,0.6630136986301369,0.0
100,11,1659.311615564337,0.032257312722007374,0.9424657534246575,0.0
100,12,3312.350151571925,0.06267758194238421,0.7643835616438356,0.0
100,13,1707.8794616658927,0.02632058921773188,0.8767123287671232,0.0
100,14,4509.507852436031,0.09867079442898229,0.6630136986301369,0.0
100,15,4511.359557437758,0.27375146219147445,0.6301369863013699,0.0
200,0,3225.8371714423547,0.026282003590638755,0.7780821917808219,0.0
200,1,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
200,2,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
200,3,2725.7668170912957,0.0681577772038099,0.8328767123287671,0.0
200,4,4511.943312387069,0.13079200098456004,0.6301369863013699,0.0
200,5,2837.7354012341148,0.14164832376210476,0.7972602739726027,0.0
200,6,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
200,7,4508.70696998678,0.1567351215732507,0.6630136986301369,0.0
200,8,3312.350151571925,0.06267758194238421,0.7643835616438356,0.0
200,9,4509.507852436031,0.09867079442898229,0.6630136986301369,0.0
200,10,3005.873855226639,0.0323205880395377,0.7972602739726027,0.0
200,11,3706.6621375473674,0.03280671356508466,0.7068493150684931,0.0
200,12,3487.726888366309,0.05836539375285123,0.747945205479452,0.0
200,13,3970.826828651592,0.10928764368636741,0.6821917808219178,0.0
200,14,4511.359557437758,0.4175794342411249,0.6301369863013699,0.0
200,15,2831.373085372102,0.01417350515935269,0.8301369863013699,0.0
200,16,2202.7214087191373,0.10293385516851704,1.0,0.0
300,0,3225.8371714423547,0.026282003590638755,0.7780821917808219,0.0
300,1,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
300,2,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
300,3,2725.7668170912957,0.0681577772038099,0.8328767123287671,0.0
300,4,4511.943312387069,0.13079200098456004,0.6301369863013699,0.0
300,5,2837.7354012341148,0.14164832376210476,0.7972602739726027,0.0
300,6,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
300,7,3312.350151571925,0.06267758194238421,0.7643835616438356,0.0
300,8,3706.6621375473674,0.03280671356508466,0.7068493150684931,0.0
300,9,3487.726888366309,0.05836539375285123,0.747945205479452,0.0
300,10,3970.826828651592,0.10928764368636741,0.6821917808219178,0.0
300,11,2831.373085372102,0.01417350515935269,0.8301369863013699,0.0
300,12,2202.7214087191373,0.10293385516851704,1.0,0.0
300,13,4093.570072697994,0.15344864356859414,0.6712328767123288,0.0
300,14,4511.359557437758,0.43926215443987215,0.6301369863013699,0.0
300,15,4511.988484843605,0.21332305834586096,0.6273972602739726,0.0
300,16,4509.541551766732,0.16431206682122892,0.6630136986301369,0.0
300,17,3406.545946163163,0.03281027471443797,0.7616438356164383,0.0
300,18,3411.5103195118995,0.06739050139118968,0.7561643835616438,0.0
300,19,2214.710977329766,0.09083372093119528,1.0,0.0
300,20,3173.3666316086797,0.020764297020435904,0.7972602739726027,0.0
400,0,2394.9589493923804,0.03427446489422645,0.863013698630137,0.0
400,1,3633.225331762576,0.12447366001094011,0.7205479452054795,0.0
400,2,4511.943312387069,0.13079200098456004,0.6301369863013699,0.0
400,3,4509.047517482977,0.2549288942958761,0.6575342465753424,0.0
400,4,3312.350151571925,0.06267758194238421,0.7643835616438356,0.0
400,5,3706.6621375473674,0.03280671356508466,0.7068493150684931,0.0
400,6,3970.826828651592,0.10928764368636741,0.6821917808219178,0.0
400,7,2831.373085372102,0.01417350515935269,0.8301369863013699,0.0
400,8,2202.7214087191373,0.10293385516851704,1.0,0.0
400,9,4511.988484843605,0.21332305834586096,0.6273972602739726,0.0
400,10,3406.545946163163,0.03281027471443797,0.7616438356164383,0.0
400,11,2214.710977329766,0.09083372093119528,1.0,0.0
400,12,4199.585383432818,0.1560761338580095,0.673972602739726,0.0
400,13,3528.858061175641,0.05753855765621781,0.7424657534246575,0.0
400,14,2662.6054997595147,0.22066058027317811,0.7452054794520548,0.0
400,15,4511.359557437758,0.45487625917541785,0.6301369863013699,0.0
400,16,3419.0692093345538,0.07446945065762454,0.7534246575342466,0.0
400,17,3309.8643369774386,0.13315485969225857,0.7917808219178082,0.0
400,18,3687.5179583442014,0.02794244244673573,0.7506849315068493,0.0
400,19,4510.15446423499,0.08765417940796062,0.6602739726027398,0.0
400,20,2736.030720811066,0.11105437503285923,0.8328767123287671,0.0
