hydropower,irrigation,environment,floodcontrol
4511.318803103484,0.652194578018795,0.6630136986301369,0.0
4510.035264863249,0.7559753467604716,0.6630136986301369,0.0
4086.6533509604396,0.8422792736661672,0.7424657534246575,0.0
4041.03505261564,0.8520177209557832,0.7506849315068493,0.0
4511.551393493636,0.6023726815411614,0.6109589041095891,0.0
3800.108898137635,0.8092367079201243,0.810958904109589,0.0
3219.599234398909,0.7486687306515982,0.9315068493150684,0.0
4058.052630699044,0.9050221725276125,0.7424657534246575,0.0
3864.075571942184,0.8299764627184697,0.7945205479452055,0.0
4116.5321486866105,0.8536415471016133,0.7315068493150685,0.0
3902.4456632477745,0.9148080218561401,0.7726027397260273,0.0
3954.682679889634,0.8385334388893543,0.7726027397260273,0.0
4510.578079444549,0.7153713159045946,0.6630136986301369,0.0
4287.343025093849,0.8507145040438979,0.6904109589041096,0.0
4159.255855723488,0.8343171351121601,0.7205479452054795,0.0
3391.1586278268305,0.819399399410493,0.8904109589041096,0.0
4325.979173795253,0.9002847985172692,0.6821917808219178,0.0
4365.763352651676,0.9060643866267172,0.6712328767123288,0.0
4329.459491615283,0.8970693772374406,0.6821917808219178,0.0
3341.1034508643993,0.8102535768731038,0.9013698630136986,0.0
4233.64759059176,0.7693805302969138,0.7013698630136986,0.0
3760.47320100098,0.9020056250140487,0.8136986301369863,0.0
3720.78567586758,0.8088420819786531,0.8301369863013699,0.0
4075.0106912006527,0.9075198594718575,0.7315068493150685,0.0
3324.1144888817353,0.7622961437003749,0.9123287671232877,0.0
3844.1932741745923,0.9003597998207253,0.7917808219178082,0.0
3453.443417579757,0.8622662861987584,0.8712328767123287,0.0
3824.6492065814523,0.8674859309299834,0.8027397260273973,0.0
3158.278562626818,0.7288690289336112,0.9506849315068493,0.0
4477.288916156411,0.9006929067410052,0.6630136986301369,0.0
2895.5594437155714,0.8505841036552558,0.989041095890411,0.0
3188.45399736378,0.8335487045073218,0.9315068493150684,0.0
3528.267709703033,0.9121082340350724,0.8465753424657534,0.0
4372.690030120655,0.8526473345202754,0.6712328767123288,0.0
3544.8397601049073,0.8516878243893387,0.8575342465753425,0.0
4230.958856762637,0.913983772374923,0.7013698630136986,0.0
3364.9910081832213,0.7551842082945388,0.9013698630136986,0.0
3096.997582214366,0.913280635150852,0.9205479452054794,0.0
4509.442620217626,0.9073786295132121,0.6219178082191781,0.0
3041.6075311184613,0.8507652201961227,0.9506849315068493,0.0
3148.3328337390335,0.7532031038746362,0.9506849315068493,0.0
2997.769474608921,0.8785895489202248,0.9616438356164384,0.0
3456.8220155985155,0.8239104940288343,0.8712328767123287,0.0
4003.6218331106884,0.8291125290107131,0.7616438356164383,0.0
3926.8476406362997,0.8506453302800514,0.7808219178082192,0.0
