Ak,irri,env,fld_c,Kp,Name
3864.626858,0.854898253,0.794701987,0,750.2650966,Other solutions
3868.242086,0.839013654,0.794701987,0,750.8936599,Other solutions
3865.842262,0.838152582,0.794701987,0,751.250737,Other solutions
3866.093681,0.777769833,0.794701987,0,752.9976422,Other solutions
3871.862192,0.72972892,0.794701987,0,755.2497114,Other solutions
3864.640492,0.650980395,0.794701987,0,755.8806487,Other solutions
3868.312494,0.632244301,0.794701987,0,757.711793,Other solutions
3869.028078,0.572691779,0.794701987,0,759.1568116,Other solutions
3866.376557,0.467926559,0.794701987,0,760.2613351,Other solutions
3862.992496,0.427279248,0.794701987,0,760.9558248,Other solutions
3862.164335,0.426360407,0.794701987,0,761.0623766,Other solutions
3869.952072,0.322687638,0.794701987,0,763.2902288,Other solutions
3870.116696,0.285198645,0.794701987,0,763.2265934,Other solutions
3898.770971,0.883143981,0.781456954,0,756.0968579,Other solutions
3898.162149,0.856364204,0.781456954,0,756.5834264,Other solutions
3908.104938,0.813521476,0.781456954,0,760.635186,Other solutions
3906.667073,0.710617458,0.781456954,0,762.9752337,Other solutions
3905.254813,0.648741708,0.781456954,0,763.8534993,Other solutions
3906.228321,0.590660881,0.781456954,0,765.6704405,Other solutions
3907.577776,0.513234366,0.781456954,0,769.5251635,Other solutions
3899.071192,0.315913682,0.781456954,0,770.491304,Other solutions
3903.235892,0.25284455,0.781456954,0,770.8125201,Other solutions
3904.569824,0.219833055,0.781456954,0,770.5394763,Other solutions
3901.599801,0.115223241,0.781456954,0,772.0839735,Other solutions
3918.209969,0.874886698,0.774834437,0,760.4366096,Other solutions
3920.780202,0.80036354,0.774834437,0,762.7775539,Other solutions
3920.70959,0.790603849,0.774834437,0,763.0340186,Other solutions
3916.059589,0.711934157,0.774834437,0,764.8156984,Other solutions
3919.796348,0.700217845,0.774834437,0,764.379269,Other solutions
3926.224297,0.692281534,0.774834437,0,767.0774615,Other solutions
3918.07614,0.56406292,0.774834437,0,768.273996,Other solutions
3915.494754,0.525072874,0.774834437,0,768.6504158,Other solutions
3918.049841,0.482259426,0.774834437,0,770.8667536,Other solutions
3912.474831,0.353012215,0.774834437,0,771.6890738,Other solutions
3905.96727,0.343987041,0.774834437,0,772.4603267,Other solutions
3916.964927,0.275316619,0.774834437,0,774.0129541,Other solutions
3912.48147,0.098066471,0.774834437,0,774.9435272,Other solutions
3952.248722,0.858975101,0.761589404,0,767.2020255,Other solutions
3961.469903,0.809575109,0.761589404,0,771.4400225,Other solutions
3961.302365,0.783532105,0.761589404,0,771.9741849,Other solutions
3958.474617,0.660707658,0.761589404,0,773.7648171,Other solutions
3950.351249,0.653720898,0.761589404,0,774.2433965,Other solutions
3956.468284,0.6058215,0.761589404,0,774.8110677,Other solutions
3959.001499,0.56783198,0.761589404,0,776.216228,Other solutions
3957.671503,0.502987372,0.761589404,0,778.1519785,Other solutions
3964.209904,0.453413367,0.761589404,0,780.553343,Other solutions
3954.505871,0.193195772,0.761589404,0,782.4931611,Other solutions
3966.286279,0.850221981,0.754966887,0,770.7348551,Other solutions
3965.751677,0.834529415,0.754966887,0,771.3763168,Other solutions
3967.661734,0.767284588,0.754966887,0,772.7799914,Other solutions
3966.840103,0.764607201,0.754966887,0,773.7244742,Other solutions
3969.39761,0.705470784,0.754966887,0,774.6540165,Other solutions
3976.169736,0.681639465,0.754966887,0,777.8135484,Other solutions
3977.603996,0.618284909,0.754966887,0,778.926006,Other solutions
3973.372215,0.510012012,0.754966887,0,781.2381337,Other solutions
3977.093278,0.471784782,0.754966887,0,782.7417672,Other solutions
3959.623514,0.254133508,0.754966887,0,783.2029848,Other solutions
3966.831515,0.192705216,0.754966887,0,784.9920564,Other solutions
3975.185596,0.088504874,0.754966887,0,784.9543462,Other solutions
3966.51324,0.086671441,0.754966887,0,785.5412909,Other solutions
3999.33831,0.858327799,0.741721854,0,776.9667953,Other solutions
4009.852278,0.801180852,0.741721854,0,780.3723304,Other solutions
4011.897838,0.79875742,0.741721854,0,780.9232666,Other solutions
4015.119933,0.71476288,0.741721854,0,784.3681732,Other solutions
4007.077086,0.616299839,0.741721854,0,784.6059688,Other solutions
4007.575043,0.554101795,0.741721854,0,786.3333439,Other solutions
4007.676677,0.542823488,0.741721854,0,786.663857,Other solutions
4003.207534,0.456380624,0.741721854,0,788.5459302,Other solutions
4004.540643,0.407424255,0.741721854,0,790.0966255,Other solutions
4006.375426,0.368702816,0.741721854,0,790.8465403,Other solutions
4007.386611,0.152178509,0.741721854,0,793.4187068,Other solutions
4024.829306,0.862423427,0.735099338,0,782.1774395,Other solutions
4023.915248,0.802359504,0.735099338,0,783.9370658,Other solutions
4027.181704,0.757853384,0.735099338,0,786.241603,Other solutions
4033.308285,0.702775402,0.735099338,0,788.2450663,Other solutions
4025.526324,0.657492867,0.735099338,0,789.1350066,Other solutions
4032.872764,0.622782233,0.735099338,0,790.9389126,Other solutions
4032.258788,0.577957442,0.735099338,0,791.7951475,Other solutions
4033.536717,0.516657822,0.735099338,0,793.5414981,Other solutions
4019.169744,0.161377131,0.735099338,0,794.8756856,Other solutions
4050.811872,0.905595601,0.721854305,0,785.8968101,Other solutions
4050.180827,0.902198549,0.721854305,0,786.0539409,Other solutions
4057.065547,0.837685762,0.721854305,0,789.2438995,Other solutions
4054.237173,0.809431834,0.721854305,0,789.7050494,Other solutions
4059.213199,0.791822838,0.721854305,0,790.5872623,Other solutions
4058.700352,0.758603824,0.721854305,0,791.4112221,Other solutions
4059.765974,0.714439678,0.721854305,0,793.7197949,Other solutions
4061.542375,0.631485207,0.721854305,0,794.9363187,Other solutions
4057.552054,0.604572966,0.721854305,0,795.6282843,Other solutions
4057.982194,0.585221546,0.721854305,0,796.1227027,Other solutions
4058.988622,0.528956895,0.721854305,0,797.1537942,Other solutions
4060.378661,0.464850797,0.721854305,0,800.0054931,Other solutions
4062.489287,0.307580258,0.721854305,0,800.6066794,Other solutions
4054.887821,0.098934647,0.721854305,0,802.6789133,Other solutions
4062.800928,0.854914486,0.715231788,0,790.2116809,Other solutions
4075.014854,0.814651445,0.715231788,0,794.0122949,Other solutions
4075.708097,0.761811274,0.715231788,0,795.4595632,Other solutions
4075.995503,0.746956302,0.715231788,0,795.5424858,Other solutions
4078.220776,0.691808118,0.715231788,0,798.2249092,Other solutions
4070.734003,0.555283461,0.715231788,0,799.1423793,Other solutions
4076.914493,0.521509412,0.715231788,0,800.4310688,Other solutions
4080.652203,0.493669268,0.715231788,0,803.1382792,Other solutions
4075.814406,0.405778237,0.715231788,0,804.2071952,Other solutions
4084.697093,0.390113695,0.715231788,0,806.4711798,Other solutions
4102.864572,0.854823583,0.701986755,0,798.0020968,Other solutions
4106.991565,0.81266835,0.701986755,0,800.8903432,Other solutions
4108.669449,0.773338544,0.701986755,0,802.4379608,Other solutions
4108.23773,0.710480539,0.701986755,0,803.5476363,Other solutions
4112.471933,0.710020005,0.701986755,0,803.1321927,Other solutions
4111.269253,0.653718708,0.701986755,0,803.672371,Other solutions
4114.270808,0.646462724,0.701986755,0,804.2238282,Other solutions
4112.474471,0.638863074,0.701986755,0,804.5057661,Other solutions
4110.91101,0.632098648,0.701986755,0,805.8312529,Other solutions
4112.773567,0.558061859,0.701986755,0,806.7212516,Other solutions
4115.619201,0.502746272,0.701986755,0,807.4936676,Other solutions
4109.168108,0.476264707,0.701986755,0,808.1658329,Other solutions
4105.194926,0.465805295,0.701986755,0,809.1022908,Other solutions
4107.883354,0.390570865,0.701986755,0,810.558276,Other solutions
4106.221986,0.210561926,0.701986755,0,812.3639138,Other solutions
4111.239849,0.157327385,0.701986755,0,813.8010556,Other solutions
4105.995921,0.904822746,0.695364238,0,796.8246125,Other solutions
4122.93997,0.867282044,0.695364238,0,801.8065017,Other solutions
4123.242301,0.813683549,0.695364238,0,803.2340793,Other solutions
4132.6868,0.76409727,0.695364238,0,805.7078748,Other solutions
4124.329157,0.709855419,0.695364238,0,806.3936844,Other solutions
4128.776611,0.666349365,0.695364238,0,808.6139707,Other solutions
4135.099285,0.622024329,0.695364238,0,810.0862361,Other solutions
4127.324889,0.56688046,0.695364238,0,811.6589882,Other solutions
4128.06364,0.502765649,0.695364238,0,812.886026,Other solutions
4129.413354,0.466821645,0.695364238,0,813.7771626,Other solutions
4131.153233,0.419331516,0.695364238,0,814.9582779,Other solutions
4130.040514,0.1867413,0.695364238,0,816.9135281,Other solutions
4151.356077,0.866613955,0.682119205,0,807.2943932,Other solutions
4166.423498,0.823555177,0.682119205,0,811.7929592,Other solutions
4161.643997,0.732471712,0.682119205,0,813.6382566,Other solutions
4161.817562,0.637191531,0.682119205,0,815.4125024,Other solutions
4169.040693,0.562181036,0.682119205,0,818.0959592,Other solutions
4168.9649,0.511885696,0.682119205,0,819.3505452,Other solutions
4163.671503,0.466229904,0.682119205,0,820.2936787,Other solutions
4166.22211,0.434221552,0.682119205,0,821.4312249,Other solutions
4164.904455,0.409767965,0.682119205,0,822.4493203,Other solutions
4170.495907,0.31856358,0.682119205,0,824.4586751,Other solutions
4175.497325,0.851300261,0.675496689,0,813.3824805,Other solutions
4173.796972,0.782432482,0.675496689,0,814.3674925,Other solutions
4173.274643,0.728501199,0.675496689,0,816.0622472,Other solutions
4182.782213,0.699188013,0.675496689,0,817.1068165,Other solutions
4177.736888,0.625752743,0.675496689,0,818.1860696,Other solutions
4175.922863,0.569580077,0.675496689,0,819.6101492,Other solutions
4181.431956,0.501889287,0.675496689,0,821.1447316,Other solutions
4182.477381,0.45757148,0.675496689,0,822.0029389,Other solutions
4177.602848,0.419531891,0.675496689,0,824.3226266,Other solutions
4181.989667,0.375118062,0.675496689,0,824.9078328,Other solutions
4187.377606,0.301886217,0.675496689,0,827.3855522,Other solutions
4183.463045,0.856142326,0.668874172,0,814.8986442,Other solutions
4211.541104,0.800811031,0.662251656,0,821.8844035,Other solutions
4216.11782,0.782129566,0.662251656,0,822.768943,Other solutions
4215.959272,0.650598957,0.662251656,0,825.2749302,Other solutions
4211.523661,0.625133013,0.662251656,0,827.2679597,Other solutions
4212.693079,0.609613036,0.662251656,0,826.7475484,Other solutions
4221.61545,0.594779018,0.662251656,0,828.8363395,Other solutions
4216.033573,0.544722128,0.662251656,0,829.066905,Other solutions
4213.524157,0.4534579,0.662251656,0,830.0027487,Other solutions
