,nfe,improvements
0,100,22
1,200,27
2,300,31
3,400,36
4,500,44
5,600,53
6,700,63
7,800,69
8,900,77
9,1000,87
10,1100,96
11,1200,104
12,1300,116
13,1400,128
14,1500,136
15,1600,142
16,1700,152
17,1800,163
18,1900,173
19,2000,182
20,2100,194
21,2200,204
22,2300,213
23,2400,222
24,2500,232
25,2600,243
26,2700,256
27,2800,273
28,2900,289
29,3000,303
30,3100,320
31,3200,337
32,3300,353
33,3400,364
34,3500,382
35,3600,405
36,3700,425
37,3800,449
38,3900,475
39,4000,491
40,4100,510
41,4200,530
42,4300,553
43,4400,568
44,4500,586
45,4600,610
46,4700,632
47,4800,661
48,4900,685
49,5000,706
50,5100,732
51,5200,754
52,5300,774
53,5400,794
54,5500,815
55,5600,838
56,5700,866
57,5800,890
58,5900,908
59,6000,930
60,6100,947
61,6200,970
62,6300,989
63,6400,1010
64,6500,1029
65,6600,1046
66,6700,1061
67,6800,1086
68,6900,1112
69,7000,1131
70,7100,1154
71,7200,1178
72,7300,1201
73,7400,1217
74,7500,1237
75,7600,1257
76,7700,1278
77,7800,1292
78,7900,1315
79,8000,1341
80,8100,1357
81,8200,1372
82,8300,1389
83,8400,1407
84,8500,1424
85,8600,1438
86,8700,1445
87,8800,1461
88,8900,1475
89,9000,1496
90,9100,1514
91,9200,1523
92,9300,1536
93,9400,1547
94,9500,1567
95,9600,1583
96,9700,1608
97,9800,1622
98,9900,1633
99,10693,1644
100,11617,1686
101,12541,1739
102,13465,1810
103,14389,1902
104,15313,2008
105,16237,2102
106,17161,2200
107,18085,2288
108,19009,2397
109,19933,2493
110,20857,2622
111,21781,2728
112,22705,2826
113,23629,2916
114,24553,3003
115,25477,3096
116,26401,3205
117,27325,3298
118,28249,3400
119,29173,3492
120,30097,3591
121,31021,3673
122,31945,3753
123,32869,3841
124,33793,3937
125,34717,4013
126,35641,4112
127,36565,4208
128,37489,4292
129,38413,4391
130,39337,4471
131,40261,4555
132,41185,4625
133,42109,4720
134,43033,4786
135,43957,4858
136,44881,4931
137,45805,5002
138,46729,5088
139,47653,5158
140,48577,5223
141,49501,5295
142,50425,5364
