,nfe,improvements
457,45800,617
458,45900,617
459,46000,617
460,46100,617
461,46200,617
462,46300,617
463,46400,617
464,46500,617
465,46600,617
466,46700,617
467,46800,617
468,46900,617
469,47000,617
470,47100,617
471,47200,617
472,47300,617
473,47400,617
474,47500,617
475,47600,617
476,47700,617
477,47800,617
478,47900,617
479,48000,617
480,48100,617
481,48200,617
482,48300,617
483,48400,617
484,48500,617
485,48600,617
486,48700,617
487,48800,617
488,48900,617
489,49000,617
490,49100,617
491,49200,617
492,49300,617
493,49400,617
494,49500,617
495,49600,617
496,49700,617
497,49800,617
498,49900,617
499,50000,617
